acc_name,create_at,full_text,retweet_count,fav_count,follower_count
KJakkrapat,2020-05-23 15:38:05,ถ้า #Covid_19 หายระบาด ประเทศที่ทำให้เกิดการระบาด จะรับผิดชอบต่อประชาชนทั้งโลกที่ได้รับผลกระทบ หรือไม่อย่างไร?,0,0,55
GhostFace_DBD,2020-05-23 15:37:44,"@David_NO_Covid "" ฉันขอเดาว่า.. ไมเคิล ไมเยอร์ ""

โอลเซนปัดมืออีกฝ่ายออกจากแก้ม พร้อมยักคิ้วกวนๆตอบกลับ

"" ถ้าแกไม่บอก.. ฉันก็จะทำข้าวกล่องที่มีแต่สลัด~ ""

"" โอเค๊? ""

เขาเดินตรงไปยังโซนขายผักและอาหารแช่แข็ง หยิบผักใบเขียวกับพาสลีย์ลงตะกร้า",0,0,86
darkside_don,2020-05-23 15:32:41,ความเหงาเป็นเหตุสังเกตได้ #แว๊นฟอร์มโฮม #เหงา #เหงาหรือเงี่ยน #เหงาแหละดูออก #เหงาเงี่ยน #covid อยาก #Skinship ,0,3,6
Rakkaewrama9,2020-05-23 15:28:51,"พิธีแจกถุงยังชีพพระราชทานโครงการ ""น้ำพระทัยพระราชทานสภาสังคมสงเคราะห์แห่งประเทศไทยฯ""
โดยมูลนิธิ Miracle of Life
วัดพระราม ๙ ผอ.เขตห้วยขวาง สน.วังทองหลาง ศิลปินนักแสดงร่วมโครงการเพื่อเยียวยาประชาชนที่ได้รับความเดือดร้อนจากสถานการณ์แพร่ระบาดของCOVID-19 ในชุมชนบึงพระราม๙ ครับ ",0,1,10
David_NO_Covid,2020-05-23 15:18:51,"@GhostFace_DBD เดวิสบุ้ยปากเล็กน้อย ที่ไม่ได้ดั่งใจเดี๋ยวเอาไว้ค่อยแอบกอดตอนไปถึงบ้านก็ได้

เดวิสหยิบตะกร้าไปตามที่อีกคนบอก ก่อนจะยิ้มกรุ้มกริ่มกับคำถามที่อีกฝ่ายถาม 

'อยากกินอะไร?'

เดวิสกระตุกยิ้มเจ้าเล่ห์เล็กน้อย

""อยากกินฆาตกรแถวๆนี้""

เขาเดินเข้าไปประชิดอีกฝ่ายแล้วใช้นิ้วจิ้มที่แก้มเบาๆ",0,0,169
Salika_co,2020-05-23 15:18:50,"สำรวจพฤติกรรม ‘การใช้จ่าย’ ของผู้บริโภคชาวไทย ที่เปลี่ยนไปเพราะระแวงไวรัส 
#epayment #consumerBehavior #survey #covidimpact #payment #thaipeople #priceza #visa #salikaco #data #thaiconsumer #contactless",0,0,208
ohkanokkan,2020-05-23 15:14:54,กลัวตัวเองจะไม่กลัวcovid ก็ป้องกันแหละ แต่ก็อยากออกไปใช้ชีวิตเเล้วอะ ,0,2,195
SirTawanzx48,2020-05-23 15:08:37,"อยากเจอแล้วว วาร์ปไปสิงหาเลยได้ไหม
ถ้าไม่ติดงานสัญญาจะไปหาที่เลนแต่เช้าเลยคับ !!
 ( ถ้า Covid-19 หมดแล้ว+น้องมีรอบจับมือตอนเช้าด้วยอะนะ) 
#FondBNK48 ",1,2,54
PRKORAT,2020-05-23 15:03:00,‍♀️‍♀️โคราช..ไร้ผู้ติดเชื้อ #COVID-19 การ์ดต้องไม่ตก ฝ่าวิกฤตโควิด-19 ไปด้วยกัน ,0,0,7
KI36bsxg8ozf6bg,2020-05-23 14:54:49,"@Tylenol82 @ThaiPBS หากมอง เมืองไทย แล้ว เราโชคดีที่มีการรักษาที่ดี และ รัฐบาลไทย ดูแลจัดการเรื่อง Covid-19 ดี และเป็นที่ยอมรับ ต่อผู้นำทั่วโลก ครับ
#ทีมประเทศไทย",0,0,23
JBs_my_sunshine,2020-05-23 14:51:41,"ทักมาสอบถามได้นะงับ
ปิดพรี 29นี้น้า‍♀️
*ขออนุญาตใช้แท็กนะคะ
#ตั้งครรภ์ให้มังกร #paintbynumber #Covid_19 #โควิด19 #painting #paintingbynumbers #ระบายสี #ระบายสีตามเลข #ระบายสีตามตัวเลข ",0,1,24
Life_wanmai,2020-05-23 14:45:52,ถ้า Covid-19 หมดแล้วทั้งคู่มีแพลนจะไปเที่ยวด้วยกันที่ไหนที่แรกคะ? #BrightWinQnA,0,1,181
thaninre,2020-05-23 14:42:52,จุกมาก เปิด COVID ไปต้องกลับไปเปิดโครงการที่คิดไว้,0,0,70
GhostFace_DBD,2020-05-23 14:42:39,"@David_NO_Covid "" ไม่! ""

เขารีบตอบปฏิเสธอย่างรู้ทัน ก่อนจะเดินลอดใต้แขนของอีกฝ่ายเข้าประตูซุปเปอร์มาร์เก็ต ไปอย่างเมินๆ

"" หยิบตะกร้าตามมาด้วย.. วันนี้แกจะต้องถือของให้ฉัน ""

โอลเซนพูด พลางหยิบโทรศัพท์ขึ้นดูโน้ตรายการซื้อของที่จัดเตรียมไว้ นึกถึงเมนูอาหารต่างๆ

"" อยากกินอะไร? """,0,0,86
Nut_Kun,2020-05-23 14:42:39,ถ้าไม่มี COVID - 19 ปีนี้คงจะได้ไปไต้หวันทีนึง อังกฤษน่าจะสองรอบ แล้วไปดูงานแข่งใหญ่ที่ยุโรปซักงาน ลาก่อยหมดเลยจ้า วีซ่าอังกฤษก็ปล่อยหมดอายุไป,0,0,6817
nettyselection,2020-05-23 14:42:27,"#Sale ลดราคาช่วง covid-19 ลดกันไป ลดกระจาย ลดจนไม่ได้กำไร
..ซื้อครบ 150฿ #ส่งฟรีลทบ
..ซื้อครบ 350฿ แถม #แอลกอฮอล์สเปร์ย
.
#nettysale #za #hadalabo #acneaid #althaya #muji #graymelin #momonde #marryrose #aquaralle #wonderbath #boots ",0,0,1195
nettyselection,2020-05-23 14:41:21,"#Sale ลดราคาช่วง covid-19 ลดกันไป ลดกระจาย ลดจนไม่ได้กำไร
..ซื้อครบ 150฿ #ส่งฟรีลทบ
..ซื้อครบ 350฿ แถม #แอลกอฮอล์สเปร์ย
.
#nettysale #za #hadalabo #acneaid #althaya #muji #graymelin #momonde #marryrose #aquaralle #wonderbath #boots ",0,1,1195
nettyselection,2020-05-23 14:40:21,"#Sale ลดราคาช่วง covid-19 ลดกันไป ลดกระจาย ลดจนไม่ได้กำไร
..ซื้อครบ 150฿ #ส่งฟรีลทบ
..ซื้อครบ 350฿ แถม #แอลกอฮอล์สเปร์ย
.
#nettysale #za #hadalabo #acneaid #althaya #muji #graymelin #momonde #marryrose #aquaralle #wonderbath #boots ",0,0,1195
NT_NM104,2020-05-23 14:38:11,"พี่คิดว่าหมดcovid-19ห้างจะแตกมั้ยคะ?

#BrightWinQnA",0,1,487
listsxtaeyong,2020-05-23 14:37:53,@mightyxjeno เตะตาไม่ covid-free หรอครับ รีบหายได้ไหม พี่กี้ไม่ชอบใส่แมส ,0,0,1231
naruebetfung,2020-05-23 14:37:41,Covid Hero : ดูชีวิตหมู่บ้านคนพม่า ฝ่าวิกฤติโควิด ,0,0,222
TonTT15,2020-05-23 14:37:19,@REALWOMAN_6127 ก็ไม่รู้เหมือนกัน รพ.ที่นั่นมีเคสcovid ไหม,0,0,10
KimTaeHeeTHfan,2020-05-23 14:36:00,"[#OliviaLauren]
โครงการเกี่ยวกับCOVID-19
การบริจาคpointsที่ได้รับจากการซื้อผลิตภัณฑ์ที่ซื้อจาก Olivia Lauren 
เงินบริจาคจะถูกใช้สำหรับแพทย์ พยาบาลและบุคลากรทางการแพทย์ ที่ต้องปฏิบัติงานแนวหน้า เพื่อป้องกันการแพร่ระบาดของไวรัสโคโรนา‍

#KimTaeHee #김태희 #คิมแทฮี ",0,1,248
New_new_ok,2020-05-23 14:28:14,รูปแรกเพราะCOVID-19  (ใส่แมสถ่ายรูปนะ) ,0,3,775
CoSportexpress,2020-05-23 14:26:38,“ลา ลีกา” ประกาศแข่งขันใหม่ 8 มิถุนายน หลังสถานการณ์ “COVID-19” ในสเปนทุเลาลง ,0,0,145
David_NO_Covid,2020-05-23 14:23:53,"@GhostFace_DBD สายตาเหลือบไปเห็นใบหน้าอันคุ้นเคยที่แต่งตัวมาอย่างเรียบง่ายและดูเด่นเป็นเอกลักษณ์ของอีกฝ่าย

""ฉันไม่ชอบรอนี่น่า""

เดวิสฉุดยิ้มส่งให้อีกฝ่ายแล้วทำทีท่าจะเดินเข้าไปหาพร้อมอ้าแขนเชิงว่าจะกอดด้วยความคิดถึง..

""มานี่มา มาให้ฉันกอดให้หายคิดถึงน่อย""

เดวิสเอ่ยโดยมิได้สนใจคนอื่นรอบข้าง",0,1,169
ThaiPublicMedia,2020-05-23 14:22:13,"สถานการณ์การติดเชื้อโควิด-19 ในอาเซียน ณ วันเสาร์ที่ 23 พฤษภาคม 2563 เวลา 19.30 น.
#สำนักงานการวิจัยแห่งชาติ #NRCT #ไวรัสโคโรนา #COVID19 ",0,1,34
romeominniemns,2020-05-23 14:11:52,อยากรู้ว่าพี่ไบร์ทกับพี่วินชอบไปเที่ยวที่แบบไหนถ้าได้มีโอกาสได้ไปเที่ยวด้วยกัน และอยากไปเที่ยวที่ๆเคยไปแล้วที่ไหนอีกครั้งคะ (หลังจากที่หมดCovid -19แล้ว) #BrightWinQnA,1,0,13
CoFactCoForm,2020-05-23 14:08:30,"ติดตาม #Cofact Daily Report 
#ข่าวลวง #ข่าวจริง #ข่าวจริงบางส่วน ประจำทุกวัน
และร่วมเป็นส่วนหนึ่งกับ #FactChecker ได้ที่ 
   
#Covid #โควิด #โควิดเราต้องรอด
#มอเตอร์เวย์ #พัทยา #มาบตาพุด  
#เงินเยียวยา #เยียวยาเกษตรกร
#สธ #กลาโหม",0,0,217
7_magpie,2020-05-23 14:01:47,"หวาา บิลค่าน้ำออกมาแล้ว ดีเลย์ไปเตรียมระบบแป้บนึงแล้วค่อยแจ้งตูมเดียว ..จะได้ไม่โดนสอยน็อคแบบการไฟฟ้า

ใช้คำว่า 'ส่วนลด (Covid-19)' อืมม ",0,0,235
